"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 11:50:55 GMT 2025","Mon May 12 11:50:56 GMT 2025","455","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 11:50:46 GMT 2025","Mon May 12 11:50:55 GMT 2025","8670","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 11:51:38 GMT 2025","Mon May 12 11:51:39 GMT 2025","221","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"passed","Mon May 12 11:51:42 GMT 2025","Mon May 12 11:51:42 GMT 2025","185","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"passed","Mon May 12 11:51:19 GMT 2025","Mon May 12 11:51:19 GMT 2025","592","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 11:51:15 GMT 2025","Mon May 12 11:51:16 GMT 2025","1207","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:50:45 GMT 2025","Mon May 12 11:50:46 GMT 2025","727","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:51:38 GMT 2025","Mon May 12 11:51:38 GMT 2025","49","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 12 11:51:26 GMT 2025","Mon May 12 11:51:26 GMT 2025","72","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"passed","Mon May 12 11:51:40 GMT 2025","Mon May 12 11:51:40 GMT 2025","248","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"passed","Mon May 12 11:51:39 GMT 2025","Mon May 12 11:51:40 GMT 2025","1485","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"passed","Mon May 12 11:51:17 GMT 2025","Mon May 12 11:51:19 GMT 2025","2067","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 11:51:19 GMT 2025","Mon May 12 11:51:19 GMT 2025","201","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"passed","Mon May 12 11:51:42 GMT 2025","Mon May 12 11:51:42 GMT 2025","257","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"passed","Mon May 12 11:50:56 GMT 2025","Mon May 12 11:51:04 GMT 2025","8693","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 11:51:08 GMT 2025","Mon May 12 11:51:15 GMT 2025","6253","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"passed","Mon May 12 11:50:44 GMT 2025","Mon May 12 11:50:45 GMT 2025","694","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:51:30 GMT 2025","Mon May 12 11:51:38 GMT 2025","8171","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"passed","Mon May 12 11:51:16 GMT 2025","Mon May 12 11:51:17 GMT 2025","534","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:51:26 GMT 2025","Mon May 12 11:51:30 GMT 2025","4296","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:51:04 GMT 2025","Mon May 12 11:51:08 GMT 2025","4213","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:51:40 GMT 2025","Mon May 12 11:51:42 GMT 2025","1447","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
"passed","Mon May 12 11:50:55 GMT 2025","Mon May 12 11:50:55 GMT 2025","391","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"passed","Mon May 12 11:51:19 GMT 2025","Mon May 12 11:51:26 GMT 2025","6296","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
