"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 12 08:58:11 GMT 2025","Mon May 12 09:00:41 GMT 2025","149993","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"broken","Mon May 12 08:44:11 GMT 2025","Mon May 12 08:47:11 GMT 2025","180011","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"broken","Mon May 12 08:55:11 GMT 2025","Mon May 12 08:58:11 GMT 2025","180008","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"broken","Mon May 12 09:09:11 GMT 2025","Mon May 12 09:11:41 GMT 2025","150042","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"passed","Mon May 12 08:32:48 GMT 2025","Mon May 12 08:32:57 GMT 2025","8686","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"broken","Mon May 12 08:38:41 GMT 2025","Mon May 12 08:41:41 GMT 2025","180012","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"passed","Mon May 12 08:32:57 GMT 2025","Mon May 12 08:32:58 GMT 2025","434","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"broken","Mon May 12 09:06:11 GMT 2025","Mon May 12 09:09:11 GMT 2025","180007","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
"broken","Mon May 12 08:49:42 GMT 2025","Mon May 12 08:52:42 GMT 2025","180007","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 08:32:57 GMT 2025","Mon May 12 08:32:57 GMT 2025","347","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"broken","Mon May 12 08:52:42 GMT 2025","Mon May 12 08:55:11 GMT 2025","149825","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"broken","Mon May 12 08:47:11 GMT 2025","Mon May 12 08:49:42 GMT 2025","150140","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"broken","Mon May 12 08:41:41 GMT 2025","Mon May 12 08:44:11 GMT 2025","149970","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 08:33:06 GMT 2025","Mon May 12 08:33:11 GMT 2025","4236","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"broken","Mon May 12 08:33:17 GMT 2025","Mon May 12 08:33:29 GMT 2025","11803","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 08:32:47 GMT 2025","Mon May 12 08:32:47 GMT 2025","578","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"broken","Mon May 12 08:36:29 GMT 2025","Mon May 12 08:38:41 GMT 2025","132560","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"broken","Mon May 12 09:00:41 GMT 2025","Mon May 12 09:03:41 GMT 2025","180008","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"broken","Mon May 12 09:03:41 GMT 2025","Mon May 12 09:06:11 GMT 2025","149973","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"passed","Mon May 12 08:33:11 GMT 2025","Mon May 12 08:33:17 GMT 2025","6243","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"passed","Mon May 12 08:32:48 GMT 2025","Mon May 12 08:32:48 GMT 2025","787","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 08:32:58 GMT 2025","Mon May 12 08:33:06 GMT 2025","8587","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"broken","Mon May 12 08:33:29 GMT 2025","Mon May 12 08:36:29 GMT 2025","180013","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"broken","Mon May 12 09:11:41 GMT 2025","Mon May 12 09:14:41 GMT 2025","180007","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
