"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 11:18:51 GMT 2025","Mon May 12 11:18:52 GMT 2025","355","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 11:18:28 GMT 2025","Mon May 12 11:18:37 GMT 2025","8624","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 11:19:14 GMT 2025","Mon May 12 11:19:14 GMT 2025","177","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"passed","Mon May 12 11:18:52 GMT 2025","Mon May 12 11:18:58 GMT 2025","6285","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 11:19:02 GMT 2025","Mon May 12 11:19:11 GMT 2025","8191","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"passed","Mon May 12 11:18:18 GMT 2025","Mon May 12 11:18:19 GMT 2025","858","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:18:58 GMT 2025","Mon May 12 11:19:02 GMT 2025","4303","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:18:17 GMT 2025","Mon May 12 11:18:18 GMT 2025","540","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:19:11 GMT 2025","Mon May 12 11:19:11 GMT 2025","45","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 12 11:18:58 GMT 2025","Mon May 12 11:18:58 GMT 2025","54","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"passed","Mon May 12 11:19:11 GMT 2025","Mon May 12 11:19:11 GMT 2025","206","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"passed","Mon May 12 11:18:28 GMT 2025","Mon May 12 11:18:28 GMT 2025","418","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 11:18:47 GMT 2025","Mon May 12 11:18:49 GMT 2025","1220","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:19:14 GMT 2025","Mon May 12 11:19:15 GMT 2025","295","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"passed","Mon May 12 11:18:27 GMT 2025","Mon May 12 11:18:28 GMT 2025","395","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"passed","Mon May 12 11:18:19 GMT 2025","Mon May 12 11:18:27 GMT 2025","8682","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 11:18:37 GMT 2025","Mon May 12 11:18:41 GMT 2025","4201","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:19:12 GMT 2025","Mon May 12 11:19:13 GMT 2025","242","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"passed","Mon May 12 11:18:49 GMT 2025","Mon May 12 11:18:51 GMT 2025","2084","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 11:18:51 GMT 2025","Mon May 12 11:18:51 GMT 2025","212","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"passed","Mon May 12 11:18:49 GMT 2025","Mon May 12 11:18:49 GMT 2025","521","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:18:41 GMT 2025","Mon May 12 11:18:47 GMT 2025","6277","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"passed","Mon May 12 11:19:11 GMT 2025","Mon May 12 11:19:12 GMT 2025","1450","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"passed","Mon May 12 11:19:13 GMT 2025","Mon May 12 11:19:14 GMT 2025","1475","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
