"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 11:43:10 GMT 2025","Mon May 12 11:43:10 GMT 2025","409","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"broken","Mon May 12 11:43:33 GMT 2025","Mon May 12 11:43:33 GMT 2025","230","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"broken","Mon May 12 11:43:34 GMT 2025","Mon May 12 11:43:34 GMT 2025","286","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"broken","Mon May 12 11:43:30 GMT 2025","Mon May 12 11:43:32 GMT 2025","1659","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:43:10 GMT 2025","Mon May 12 11:43:11 GMT 2025","412","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"broken","Mon May 12 11:43:35 GMT 2025","Mon May 12 11:43:35 GMT 2025","227","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"passed","Mon May 12 11:43:11 GMT 2025","Mon May 12 11:43:19 GMT 2025","8608","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 11:43:00 GMT 2025","Mon May 12 11:43:00 GMT 2025","493","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"broken","Mon May 12 11:43:34 GMT 2025","Mon May 12 11:43:35 GMT 2025","279","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"passed","Mon May 12 11:43:24 GMT 2025","Mon May 12 11:43:30 GMT 2025","6260","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"broken","Mon May 12 11:43:33 GMT 2025","Mon May 12 11:43:34 GMT 2025","230","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"passed","Mon May 12 11:43:01 GMT 2025","Mon May 12 11:43:10 GMT 2025","8707","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"broken","Mon May 12 11:43:33 GMT 2025","Mon May 12 11:43:33 GMT 2025","230","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"broken","Mon May 12 11:43:34 GMT 2025","Mon May 12 11:43:34 GMT 2025","232","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"broken","Mon May 12 11:43:33 GMT 2025","Mon May 12 11:43:33 GMT 2025","230","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 11:43:01 GMT 2025","Mon May 12 11:43:01 GMT 2025","733","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:43:19 GMT 2025","Mon May 12 11:43:24 GMT 2025","4237","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"broken","Mon May 12 11:43:34 GMT 2025","Mon May 12 11:43:34 GMT 2025","228","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"broken","Mon May 12 11:43:32 GMT 2025","Mon May 12 11:43:33 GMT 2025","230","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"broken","Mon May 12 11:43:35 GMT 2025","Mon May 12 11:43:35 GMT 2025","276","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"broken","Mon May 12 11:43:32 GMT 2025","Mon May 12 11:43:32 GMT 2025","228","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"broken","Mon May 12 11:43:35 GMT 2025","Mon May 12 11:43:35 GMT 2025","251","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
"broken","Mon May 12 11:43:32 GMT 2025","Mon May 12 11:43:32 GMT 2025","301","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"broken","Mon May 12 11:43:32 GMT 2025","Mon May 12 11:43:32 GMT 2025","233","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
