"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 11:47:13 GMT 2025","Mon May 12 11:47:14 GMT 2025","635","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:47:14 GMT 2025","Mon May 12 11:47:16 GMT 2025","2124","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 11:47:39 GMT 2025","Mon May 12 11:47:40 GMT 2025","279","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"passed","Mon May 12 11:47:06 GMT 2025","Mon May 12 11:47:12 GMT 2025","6312","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"passed","Mon May 12 11:47:37 GMT 2025","Mon May 12 11:47:38 GMT 2025","241","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"passed","Mon May 12 11:47:36 GMT 2025","Mon May 12 11:47:37 GMT 2025","1522","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"passed","Mon May 12 11:47:01 GMT 2025","Mon May 12 11:47:06 GMT 2025","4260","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:47:36 GMT 2025","Mon May 12 11:47:36 GMT 2025","235","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"passed","Mon May 12 11:47:16 GMT 2025","Mon May 12 11:47:17 GMT 2025","357","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 11:47:39 GMT 2025","Mon May 12 11:47:39 GMT 2025","173","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"passed","Mon May 12 11:47:23 GMT 2025","Mon May 12 11:47:27 GMT 2025","4303","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:47:23 GMT 2025","Mon May 12 11:47:23 GMT 2025","65","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"passed","Mon May 12 11:47:36 GMT 2025","Mon May 12 11:47:36 GMT 2025","51","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 12 11:46:41 GMT 2025","Mon May 12 11:46:42 GMT 2025","749","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:47:16 GMT 2025","Mon May 12 11:47:16 GMT 2025","204","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"passed","Mon May 12 11:47:38 GMT 2025","Mon May 12 11:47:39 GMT 2025","1462","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
"passed","Mon May 12 11:46:43 GMT 2025","Mon May 12 11:46:52 GMT 2025","8764","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 11:46:53 GMT 2025","Mon May 12 11:47:01 GMT 2025","8640","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 11:46:42 GMT 2025","Mon May 12 11:46:43 GMT 2025","863","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:46:52 GMT 2025","Mon May 12 11:46:52 GMT 2025","439","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"passed","Mon May 12 11:47:12 GMT 2025","Mon May 12 11:47:13 GMT 2025","1372","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:46:52 GMT 2025","Mon May 12 11:46:53 GMT 2025","511","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 11:47:17 GMT 2025","Mon May 12 11:47:23 GMT 2025","6294","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 11:47:27 GMT 2025","Mon May 12 11:47:36 GMT 2025","8164","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
