"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 09:22:21 GMT 2025","Mon May 12 09:22:30 GMT 2025","8711","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 09:22:44 GMT 2025","Mon May 12 09:22:50 GMT 2025","6231","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"passed","Mon May 12 09:22:20 GMT 2025","Mon May 12 09:22:21 GMT 2025","986","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 09:44:51 GMT 2025","Mon May 12 09:44:51 GMT 2025","307","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"passed","Mon May 12 09:22:19 GMT 2025","Mon May 12 09:22:20 GMT 2025","947","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 09:31:15 GMT 2025","Mon May 12 09:33:44 GMT 2025","148312","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 09:22:30 GMT 2025","Mon May 12 09:22:31 GMT 2025","568","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"broken","Mon May 12 09:22:51 GMT 2025","Mon May 12 09:25:51 GMT 2025","180024","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 09:22:39 GMT 2025","Mon May 12 09:22:44 GMT 2025","4363","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"broken","Mon May 12 09:39:13 GMT 2025","Mon May 12 09:42:13 GMT 2025","180008","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 09:44:51 GMT 2025","Mon May 12 09:44:51 GMT 2025","47","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 12 09:44:55 GMT 2025","Mon May 12 09:44:55 GMT 2025","322","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"passed","Mon May 12 09:22:50 GMT 2025","Mon May 12 09:22:51 GMT 2025","1247","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 09:36:44 GMT 2025","Mon May 12 09:39:13 GMT 2025","149332","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"passed","Mon May 12 09:42:13 GMT 2025","Mon May 12 09:44:51 GMT 2025","158015","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"passed","Mon May 12 09:22:31 GMT 2025","Mon May 12 09:22:39 GMT 2025","8615","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 09:25:51 GMT 2025","Mon May 12 09:28:15 GMT 2025","144056","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 09:44:53 GMT 2025","Mon May 12 09:44:53 GMT 2025","254","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"broken","Mon May 12 09:28:15 GMT 2025","Mon May 12 09:31:15 GMT 2025","180009","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"passed","Mon May 12 09:44:55 GMT 2025","Mon May 12 09:44:56 GMT 2025","410","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"passed","Mon May 12 09:44:51 GMT 2025","Mon May 12 09:44:53 GMT 2025","1640","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"passed","Mon May 12 09:22:30 GMT 2025","Mon May 12 09:22:30 GMT 2025","416","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"broken","Mon May 12 09:33:44 GMT 2025","Mon May 12 09:36:44 GMT 2025","180013","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 09:44:53 GMT 2025","Mon May 12 09:44:55 GMT 2025","1441","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
