"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 10:52:20 GMT 2025","Mon May 12 10:52:21 GMT 2025","804","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"broken","Mon May 12 10:52:54 GMT 2025","Mon May 12 10:52:54 GMT 2025","228","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"broken","Mon May 12 10:52:52 GMT 2025","Mon May 12 10:52:52 GMT 2025","226","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"passed","Mon May 12 10:52:30 GMT 2025","Mon May 12 10:52:31 GMT 2025","405","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 10:52:31 GMT 2025","Mon May 12 10:52:39 GMT 2025","8607","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"broken","Mon May 12 10:52:52 GMT 2025","Mon May 12 10:52:52 GMT 2025","227","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"broken","Mon May 12 10:52:54 GMT 2025","Mon May 12 10:52:54 GMT 2025","226","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"broken","Mon May 12 10:52:53 GMT 2025","Mon May 12 10:52:53 GMT 2025","283","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"broken","Mon May 12 10:52:52 GMT 2025","Mon May 12 10:52:53 GMT 2025","228","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"broken","Mon May 12 10:52:54 GMT 2025","Mon May 12 10:52:54 GMT 2025","311","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"broken","Mon May 12 10:52:51 GMT 2025","Mon May 12 10:52:52 GMT 2025","245","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 10:52:44 GMT 2025","Mon May 12 10:52:50 GMT 2025","6233","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"passed","Mon May 12 10:52:30 GMT 2025","Mon May 12 10:52:30 GMT 2025","370","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"broken","Mon May 12 10:52:55 GMT 2025","Mon May 12 10:52:55 GMT 2025","226","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"broken","Mon May 12 10:52:54 GMT 2025","Mon May 12 10:52:55 GMT 2025","226","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
"broken","Mon May 12 10:52:55 GMT 2025","Mon May 12 10:52:55 GMT 2025","224","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"broken","Mon May 12 10:52:53 GMT 2025","Mon May 12 10:52:54 GMT 2025","226","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"broken","Mon May 12 10:52:52 GMT 2025","Mon May 12 10:52:52 GMT 2025","282","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"broken","Mon May 12 10:52:53 GMT 2025","Mon May 12 10:52:53 GMT 2025","222","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 10:52:21 GMT 2025","Mon May 12 10:52:30 GMT 2025","8699","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"broken","Mon May 12 10:52:53 GMT 2025","Mon May 12 10:52:53 GMT 2025","221","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"broken","Mon May 12 10:52:50 GMT 2025","Mon May 12 10:52:51 GMT 2025","1593","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 10:52:39 GMT 2025","Mon May 12 10:52:44 GMT 2025","4216","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 10:52:20 GMT 2025","Mon May 12 10:52:20 GMT 2025","739","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
